year,smoke_estimate
1964,77.61845406269774
1965,89.42508347007059
1966,91.59420515201164
1967,131.06246869245032
1968,157.87161300931876
1969,128.50806914714752
1970,200.608012257017
1971,107.24869005925227
1972,94.58799512710792
1973,110.20028265587968
1974,125.07938171846894
1975,205.57968536341033
1976,111.00524960456912
1977,108.29199774856451
1978,147.49179480619603
1979,218.6236452207625
1980,175.95339923979878
1981,112.8354730210773
1982,125.32861888129918
1983,101.56838161748837
1984,83.80011813646826
1985,72.3969788993282
1986,84.2472823515052
1987,88.62479871290795
1988,109.91148252907458
1989,107.49579715487752
1990,84.68086924186169
1991,72.45974628388977
1992,81.56549518125715
1993,126.31012631796833
1994,87.96393500280115
1995,104.68936339997494
1996,105.99639368330284
1997,108.43302532072494
1998,75.30061768251586
1999,56.57130333629302
2000,47.99657123055119
2001,58.89174243982309
2002,63.25063691676267
2003,63.55115427895949
2004,60.83650419799247
2005,63.870538555126465
2006,58.445158885835134
2007,72.76340967130987
2008,56.47444550459049
2009,61.46238170600653
2010,76.11473157865899
2011,66.24150729833973
2012,71.7069873314547
2013,79.53482587225454
2014,50.574502492125134
2015,66.16760246900468
2016,63.38109933005997
2017,71.80516341159885
2018,65.83863818545707
2019,54.1743823394961
2020,72.86216218838875
